Name,Type 1,Type 2,HP,Attack,Defense,Speed,Sp. Def,Sp. Atk,Legendary,
Cloyster,Water,Ice,50,95,180,70,45,85,False,
Gastly,Ghost,Poison,30,35,30,80,35,100,False,
Haunter,Ghost,Poison,45,50,45,95,55,115,False,
Gengar,Ghost,Poison,60,65,60,110,75,130,False,
Onix,Rock,Ground,35,45,160,70,45,30,False,
Drowzee,Psychic,,60,48,45,42,90,43,False,
Hypno,Psychic,,85,73,70,67,115,73,False,
Krabby,Water,,30,105,90,50,25,25,False,
Kingler,Water,,55,130,115,75,50,50,False,
Voltorb,Electric,,40,30,50,100,55,55,False,
Electrode,Electric,,60,50,70,140,80,80,False,
Exeggcute,Grass,Psychic,60,40,80,40,45,60,False,
Exeggutor,Grass,Psychic,95,95,85,55,65,125,False,
Cubone,Ground,,50,50,95,35,50,40,False,
Marowak,Ground,,60,80,110,45,80,50,False,
Hitmonlee,Fighting,,50,120,53,87,110,35,False,
Hitmonchan,Fighting,,50,105,79,76,110,35,False,
Lickitung,Normal,,90,55,75,30,75,60,False,
Koffing,Poison,,40,65,95,35,45,60,False,
Weezing,Poison,,65,90,120,60,70,85,False,
Rhyhorn,Ground,Rock,80,85,95,25,30,30,False,
Rhydon,Ground,Rock,105,130,120,40,45,45,False,
Chansey,Normal,,250,5,5,50,105,35,False,
Tangela,Grass,,65,55,115,60,40,100,False,
Kangaskhan,Normal,,105,95,80,90,80,40,False,
Horsea,Water,,30,40,70,60,25,70,False,
Seadra,Water,,55,65,95,85,45,95,False,
Goldeen,Water,,45,67,60,63,50,35,False,
Seaking,Water,,80,92,65,68,80,65,False,
Staryu,Water,,30,45,55,85,55,70,False,
Starmie,Water,Psychic,60,75,85,115,85,100,False,
Mr. Mime,Psychic,Fairy,40,45,65,90,120,100,False,
Scyther,Bug,Flying,70,110,80,105,80,55,False,
Jynx,Ice,Psychic,65,50,35,95,95,115,False,
Electabuzz,Electric,,65,83,57,105,85,95,False,
Magmar,Fire,,65,95,57,93,85,100,False,
Pinsir,Bug,,65,125,100,85,70,55,False,
Tauros,Normal,,75,100,95,110,70,40,False,
Magikarp,Water,,20,10,55,80,20,15,False,
Gyarados,Water,Flying,95,125,79,81,100,60,False,
Lapras,Water,Ice,130,85,80,60,95,85,False,
Ditto,Normal,,48,48,48,48,48,48,False,
Eevee,Normal,,55,55,50,55,65,45,False,
Vaporeon,Water,,130,65,60,65,95,110,False,
Jolteon,Electric,,65,65,60,130,95,110,False,
Flareon,Fire,,65,130,60,65,110,95,False,
Porygon,Normal,,65,60,70,40,75,85,False,
Omanyte,Rock,Water,35,40,100,35,55,90,False,
Omastar,Rock,Water,70,60,125,55,70,115,False,
Kabuto,Rock,Water,30,80,90,55,45,55,False,
Kabutops,Rock,Water,60,115,105,80,70,65,False,
Aerodactyl,Rock,Flying,80,105,65,130,75,60,False,
Snorlax,Normal,,160,110,65,30,110,65,False,
Articuno,Ice,Flying,90,85,100,85,125,95,True,
Zapdos,Electric,Flying,90,90,85,100,90,125,True,
Moltres,Fire,Flying,90,100,90,90,85,125,True,
Dratini,Dragon,,41,64,45,50,50,50,False,
Dragonair,Dragon,,61,84,65,70,70,70,False,
Dragonite,Dragon,Flying,91,134,95,80,100,100,False,
Mewtwo,Psychic,,106,110,90,130,90,154,True,
Mew,Psychic,,100,100,100,100,100,100,False,
Chikorita,Grass,,45,49,65,45,65,49,False,
Bayleef,Grass,,60,62,80,60,80,63,False,
Meganium,Grass,,80,82,100,80,100,83,False,
Cyndaquil,Fire,,39,52,43,65,50,60,False,
Quilava,Fire,,58,64,58,80,65,80,False,
Typhlosion,Fire,,78,84,78,100,85,109,False,
Totodile,Water,,50,65,64,43,48,44,False,
Croconaw,Water,,65,80,80,58,63,59,False,
Feraligatr,Water,,85,105,100,78,83,79,False,
Sentret,Normal,,35,46,34,20,45,35,False,
Furret,Normal,,85,76,64,90,55,45,False,
Hoothoot,Normal,Flying,60,30,30,50,56,36,False,
Noctowl,Normal,Flying,100,50,50,70,96,76,False,
Ledyba,Bug,Flying,40,20,30,55,80,40,False,
Ledian,Bug,Flying,55,35,50,85,110,55,False,
Spinarak,Bug,Poison,40,60,40,30,40,40,False,
Ariados,Bug,Poison,70,90,70,40,60,60,False,
Crobat,Poison,Flying,85,90,80,130,80,70,False,
Chinchou,Water,Electric,75,38,38,67,56,56,False,
Lanturn,Water,Electric,125,58,58,67,76,76,False,
Pichu,Electric,,20,40,15,60,35,35,False,
Cleffa,Fairy,,50,25,28,15,55,45,False,
Igglybuff,Normal,Fairy,90,30,15,15,20,40,False,
Togepi,Fairy,,35,20,65,20,65,40,False,
Togetic,Fairy,Flying,55,40,85,40,105,80,False,
Natu,Psychic,Flying,40,50,45,70,45,70,False,
Xatu,Psychic,Flying,65,75,70,95,70,95,False,
Mareep,Electric,,55,40,40,35,45,65,False,
Flaaffy,Electric,,70,55,55,45,60,80,False,
Ampharos,Electric,,90,75,85,55,90,115,False,
Bellossom,Grass,,75,80,95,50,100,90,False,
Marill,Water,Fairy,70,20,50,40,50,20,False,
Azumarill,Water,Fairy,100,50,80,50,80,60,False,
Sudowoodo,Rock,,70,100,115,30,65,30,False,
Politoed,Water,,90,75,75,70,100,90,False,
Hoppip,Grass,Flying,35,35,40,50,55,35,False,
Skiploom,Grass,Flying,55,45,50,80,65,45,False,
Jumpluff,Grass,Flying,75,55,70,110,95,55,False,
Aipom,Normal,,55,70,55,85,55,40,False,
Sunkern,Grass,,30,30,30,30,30,30,False,
Sunflora,Grass,,75,75,55,30,85,105,False,
Yanma,Bug,Flying,65,65,45,95,45,75,False,
Wooper,Water,Ground,55,45,45,15,25,25,False,
Quagsire,Water,Ground,95,85,85,35,65,65,False,
Espeon,Psychic,,65,65,60,110,95,130,False,
Umbreon,Dark,,95,65,110,65,130,60,False,
Murkrow,Dark,Flying,60,85,42,91,42,85,False,
Slowking,Water,Psychic,95,75,80,30,110,100,False,
Misdreavus,Ghost,,60,60,60,85,85,85,False,
Unown,Psychic,,48,72,48,48,48,72,False,
Wobbuffet,Psychic,,190,33,58,33,58,33,False,
Girafarig,Normal,Psychic,70,80,65,85,65,90,False,
Pineco,Bug,,50,65,90,15,35,35,False,
Forretress,Bug,Steel,75,90,140,40,60,60,False,
Dunsparce,Normal,,100,70,70,45,65,65,False,
Gligar,Ground,Flying,65,75,105,85,65,35,False,
Steelix,Steel,Ground,75,85,200,30,65,55,False,
Snubbull,Fairy,,60,80,50,30,40,40,False,
Granbull,Fairy,,90,120,75,45,60,60,False,
Qwilfish,Water,Poison,65,95,75,85,55,55,False,
Scizor,Bug,Steel,70,130,100,65,80,55,False,
Shuckle,Bug,Rock,20,10,230,5,230,10,False,
Heracross,Bug,Fighting,80,125,75,85,95,40,False,
Sneasel,Dark,Ice,55,95,55,115,75,35,False,
Teddiursa,Normal,,60,80,50,40,50,50,False,
Ursaring,Normal,,90,130,75,55,75,75,False,
Slugma,Fire,,40,40,40,20,40,70,False,
Magcargo,Fire,Rock,50,50,120,30,80,80,False,
Swinub,Ice,Ground,50,50,40,50,30,30,False,
Piloswine,Ice,Ground,100,100,80,50,60,60,False,
Corsola,Water,Rock,55,55,85,35,85,65,False,
Remoraid,Water,,35,65,35,65,35,65,False,
Octillery,Water,,75,105,75,45,75,105,False,
Delibird,Ice,Flying,45,55,45,75,45,65,False,
Mantine,Water,Flying,65,40,70,70,140,80,False,
Skarmory,Steel,Flying,65,80,140,70,70,40,False,
Houndour,Dark,Fire,45,60,30,65,50,80,False,
Houndoom,Dark,Fire,75,90,50,95,80,110,False,
Kingdra,Water,Dragon,75,95,95,85,95,95,False,
Phanpy,Ground,,90,60,60,40,40,40,False,
Donphan,Ground,,90,120,120,50,60,60,False,
Porygon2,Normal,,85,80,90,60,95,105,False,
Stantler,Normal,,73,95,62,85,65,85,False,
Smeargle,Normal,,55,20,35,75,45,20,False,
Tyrogue,Fighting,,35,35,35,35,35,35,False,
Hitmontop,Fighting,,50,95,95,70,110,35,False,
Smoochum,Ice,Psychic,45,30,15,65,65,85,False,
Elekid,Electric,,45,63,37,95,55,65,False,
Magby,Fire,,45,75,37,83,55,70,False,
Miltank,Normal,,95,80,105,100,70,40,False,
Blissey,Normal,,255,10,10,55,135,75,False,
Raikou,Electric,,90,85,75,115,100,115,True,
Entei,Fire,,115,115,85,100,75,90,True,
Suicune,Water,,100,75,115,85,115,90,True,
Larvitar,Rock,Ground,50,64,50,41,50,45,False,
Pupitar,Rock,Ground,70,84,70,51,70,65,False,
Tyranitar,Rock,Dark,100,134,110,61,100,95,False,
Lugia,Psychic,Flying,106,90,130,110,154,90,True,
Ho-oh,Fire,Flying,106,130,90,90,154,110,True,
Celebi,Psychic,Grass,100,100,100,100,100,100,False,
Treecko,Grass,,40,45,35,70,55,65,False,
Grovyle,Grass,,50,65,45,95,65,85,False,
Sceptile,Grass,,70,85,65,120,85,105,False,
Torchic,Fire,,45,60,40,45,50,70,False,
Combusken,Fire,Fighting,60,85,60,55,60,85,False,
Blaziken,Fire,Fighting,80,120,70,80,70,110,False,
Mudkip,Water,,50,70,50,40,50,50,False,
Marshtomp,Water,Ground,70,85,70,50,70,60,False,
Swampert,Water,Ground,100,110,90,60,90,85,False,
Poochyena,Dark,,35,55,35,35,30,30,False,
Mightyena,Dark,,70,90,70,70,60,60,False,
Zigzagoon,Normal,,38,30,41,60,41,30,False,
Linoone,Normal,,78,70,61,100,61,50,False,
Wurmple,Bug,,45,45,35,20,30,20,False,
Silcoon,Bug,,50,35,55,15,25,25,False,
Beautifly,Bug,Flying,60,70,50,65,50,100,False,
Cascoon,Bug,,50,35,55,15,25,25,False,
Dustox,Bug,Poison,60,50,70,65,90,50,False,
Lotad,Water,Grass,40,30,30,30,50,40,False,
Lombre,Water,Grass,60,50,50,50,70,60,False,
Ludicolo,Water,Grass,80,70,70,70,100,90,False,
Seedot,Grass,,40,40,50,30,30,30,False,
Nuzleaf,Grass,Dark,70,70,40,60,40,60,False,
Shiftry,Grass,Dark,90,100,60,80,60,90,False,
Taillow,Normal,Flying,40,55,30,85,30,30,False,
Swellow,Normal,Flying,60,85,60,125,50,50,False,
Wingull,Water,Flying,40,30,30,85,30,55,False,
Pelipper,Water,Flying,60,50,100,65,70,85,False,
Ralts,Psychic,Fairy,28,25,25,40,35,45,False,
Kirlia,Psychic,Fairy,38,35,35,50,55,65,False,
Gardevoir,Psychic,Fairy,68,65,65,80,115,125,False,
Surskit,Bug,Water,40,30,32,65,52,50,False,
Masquerain,Bug,Flying,70,60,62,60,82,80,False,
Shroomish,Grass,,60,40,60,35,60,40,False,
Breloom,Grass,Fighting,60,130,80,70,60,60,False,
Slakoth,Normal,,60,60,60,30,35,35,False,
Vigoroth,Normal,,80,80,80,90,55,55,False,
Slaking,Normal,,150,160,100,100,65,95,False,
Nincada,Bug,Ground,31,45,90,40,30,30,False,
Ninjask,Bug,Flying,61,90,45,160,50,50,False,
Shedinja,Bug,Ghost,1,90,45,40,30,30,False,
Whismur,Normal,,64,51,23,28,23,51,False,
Loudred,Normal,,84,71,43,48,43,71,False,
Exploud,Normal,,104,91,63,68,73,91,False,
Makuhita,Fighting,,72,60,30,25,30,20,False,
Hariyama,Fighting,,144,120,60,50,60,40,False,
Azurill,Normal,Fairy,50,20,40,20,40,20,False,
Nosepass,Rock,,30,45,135,30,90,45,False,
Skitty,Normal,,50,45,45,50,35,35,False,
Delcatty,Normal,,70,65,65,70,55,55,False,
Sableye,Dark,Ghost,50,75,75,50,65,65,False,
Mawile,Steel,Fairy,50,85,85,50,55,55,False,
Aron,Steel,Rock,50,70,100,30,40,40,False,
Lairon,Steel,Rock,60,90,140,40,50,50,False,
Aggron,Steel,Rock,70,110,180,50,60,60,False,
Meditite,Fighting,Psychic,30,40,55,60,55,40,False,
Medicham,Fighting,Psychic,60,60,75,80,75,60,False,
Electrike,Electric,,40,45,40,65,40,65,False,
Manectric,Electric,,70,75,60,105,60,105,False,
Plusle,Electric,,60,50,40,95,75,85,False,
Minun,Electric,,60,40,50,95,85,75,False,
Volbeat,Bug,,65,73,55,85,75,47,False,
Illumise,Bug,,65,47,55,85,75,73,False,
Roselia,Grass,Poison,50,60,45,65,80,100,False,
Gulpin,Poison,,70,43,53,40,53,43,False,
Swalot,Poison,,100,73,83,55,83,73,False,
Carvanha,Water,Dark,45,90,20,65,20,65,False,
Sharpedo,Water,Dark,70,120,40,95,40,95,False,
Wailmer,Water,,130,70,35,60,35,70,False,
Wailord,Water,,170,90,45,60,45,90,False,
Numel,Fire,Ground,60,60,40,35,45,65,False,
Camerupt,Fire,Ground,70,100,70,40,75,105,False,
Torkoal,Fire,,70,85,140,20,70,85,False,
Spoink,Psychic,,60,25,35,60,80,70,False,
Grumpig,Psychic,,80,45,65,80,110,90,False,
Spinda,Normal,,60,60,60,60,60,60,False,
Trapinch,Ground,,45,100,45,10,45,45,False,
Vibrava,Ground,Dragon,50,70,50,70,50,50,False,
Flygon,Ground,Dragon,80,100,80,100,80,80,False,
Cacnea,Grass,,50,85,40,35,40,85,False,
Cacturne,Grass,Dark,70,115,60,55,60,115,False,
Swablu,Normal,Flying,45,40,60,50,75,40,False,
Altaria,Dragon,Flying,75,70,90,80,105,70,False,
Zangoose,Normal,,73,115,60,90,60,60,False,
Seviper,Poison,,73,100,60,65,60,100,False,
Lunatone,Rock,Psychic,70,55,65,70,85,95,False,
Solrock,Rock,Psychic,70,95,85,70,65,55,False,
Barboach,Water,Ground,50,48,43,60,41,46,False,
Whiscash,Water,Ground,110,78,73,60,71,76,False,
Corphish,Water,,43,80,65,35,35,50,False,
Crawdaunt,Water,Dark,63,120,85,55,55,90,False,
Baltoy,Ground,Psychic,40,40,55,55,70,40,False,
Claydol,Ground,Psychic,60,70,105,75,120,70,False,
Lileep,Rock,Grass,66,41,77,23,87,61,False,
Cradily,Rock,Grass,86,81,97,43,107,81,False,
Anorith,Rock,Bug,45,95,50,75,50,40,False,
Armaldo,Rock,Bug,75,125,100,45,80,70,False,
Feebas,Water,,20,15,20,80,55,10,False,
Milotic,Water,,95,60,79,81,125,100,False,
Castform,Normal,,70,70,70,70,70,70,False,
Kecleon,Normal,,60,90,70,40,120,60,False,
Shuppet,Ghost,,44,75,35,45,33,63,False,
Banette,Ghost,,64,115,65,65,63,83,False,
Duskull,Ghost,,20,40,90,25,90,30,False,
Dusclops,Ghost,,40,70,130,25,130,60,False,
Tropius,Grass,Flying,99,68,83,51,87,72,False,
Chimecho,Psychic,,65,50,70,65,80,95,False,
Absol,Dark,,65,130,60,75,60,75,False,
Wynaut,Psychic,,95,23,48,23,48,23,False,
Snorunt,Ice,,50,50,50,50,50,50,False,
Glalie,Ice,,80,80,80,80,80,80,False,
Spheal,Ice,Water,70,40,50,25,50,55,False,
Sealeo,Ice,Water,90,60,70,45,70,75,False,
Walrein,Ice,Water,110,80,90,65,90,95,False,
Clamperl,Water,,35,64,85,32,55,74,False,
Huntail,Water,,55,104,105,52,75,94,False,
Gorebyss,Water,,55,84,105,52,75,114,False,
Relicanth,Water,Rock,100,90,130,55,65,45,False,
Luvdisc,Water,,43,30,55,97,65,40,False,
Bagon,Dragon,,45,75,60,50,30,40,False,
Shelgon,Dragon,,65,95,100,50,50,60,False,
Salamence,Dragon,Flying,95,135,80,100,80,110,False,
Beldum,Steel,Psychic,40,55,80,30,60,35,False,
Metang,Steel,Psychic,60,75,100,50,80,55,False,
Metagross,Steel,Psychic,80,135,130,70,90,95,False,
Regirock,Rock,,80,100,200,50,100,50,True,
Regice,Ice,,80,50,100,50,200,100,True,
Registeel,Steel,,80,75,150,50,150,75,True,
Latias,Dragon,Psychic,80,80,90,110,130,110,True,
Latios,Dragon,Psychic,80,90,80,110,110,130,True,
Kyogre,Water,,100,100,90,90,140,150,True,
Groudon,Ground,,100,150,140,90,90,100,True,
Rayquaza,Dragon,Flying,105,150,90,95,90,150,True,
