Name,Type 1,Type 2,HP,Attack,Defense,Speed,Sp. Def,Sp. Atk,Legendary,
Cloyster,Water,Ice,50,95,180,70,45,85,false,
Gastly,Ghost,Poison,30,35,30,80,35,100,false,
Haunter,Ghost,Poison,45,50,45,95,55,115,false,
Gengar,Ghost,Poison,60,65,60,110,75,130,false,
Onix,Rock,Ground,35,45,160,70,45,30,false,
Drowzee,Psychic,,60,48,45,42,90,43,false,
Hypno,Psychic,,85,73,70,67,115,73,false,
Krabby,Water,,30,105,90,50,25,25,false,
Kingler,Water,,55,130,115,75,50,50,false,
Voltorb,Electric,,40,30,50,100,55,55,false,
Electrode,Electric,,60,50,70,140,80,80,false,
Exeggcute,Grass,Psychic,60,40,80,40,45,60,false,
Exeggutor,Grass,Psychic,95,95,85,55,65,125,false,
Cubone,Ground,,50,50,95,35,50,40,false,
Marowak,Ground,,60,80,110,45,80,50,false,
Hitmonlee,Fighting,,50,120,53,87,110,35,false,
Hitmonchan,Fighting,,50,105,79,76,110,35,false,
Lickitung,Normal,,90,55,75,30,75,60,false,
Koffing,Poison,,40,65,95,35,45,60,false,
Weezing,Poison,,65,90,120,60,70,85,false,
Rhyhorn,Ground,Rock,80,85,95,25,30,30,false,
Rhydon,Ground,Rock,105,130,120,40,45,45,false,
Chansey,Normal,,250,5,5,50,105,35,false,
Tangela,Grass,,65,55,115,60,40,100,false,
Kangaskhan,Normal,,105,95,80,90,80,40,false,
Horsea,Water,,30,40,70,60,25,70,false,
Seadra,Water,,55,65,95,85,45,95,false,
Goldeen,Water,,45,67,60,63,50,35,false,
Seaking,Water,,80,92,65,68,80,65,false,
Staryu,Water,,30,45,55,85,55,70,false,
Starmie,Water,Psychic,60,75,85,115,85,100,false,
Mr. Mime,Psychic,Fairy,40,45,65,90,120,100,false,
Scyther,Bug,Flying,70,110,80,105,80,55,false,
Jynx,Ice,Psychic,65,50,35,95,95,115,false,
Electabuzz,Electric,,65,83,57,105,85,95,false,
Magmar,Fire,,65,95,57,93,85,100,false,
Pinsir,Bug,,65,125,100,85,70,55,false,
Tauros,Normal,,75,100,95,110,70,40,false,
Magikarp,Water,,20,10,55,80,20,15,false,
Gyarados,Water,Flying,95,125,79,81,100,60,false,
Lapras,Water,Ice,130,85,80,60,95,85,false,
Ditto,Normal,,48,48,48,48,48,48,false,
Eevee,Normal,,55,55,50,55,65,45,false,
Vaporeon,Water,,130,65,60,65,95,110,false,
Jolteon,Electric,,65,65,60,130,95,110,false,
Flareon,Fire,,65,130,60,65,110,95,false,
Porygon,Normal,,65,60,70,40,75,85,false,
Omanyte,Rock,Water,35,40,100,35,55,90,false,
Omastar,Rock,Water,70,60,125,55,70,115,false,
Kabuto,Rock,Water,30,80,90,55,45,55,false,
Kabutops,Rock,Water,60,115,105,80,70,65,false,
Aerodactyl,Rock,Flying,80,105,65,130,75,60,false,
Snorlax,Normal,,160,110,65,30,110,65,false,
Articuno,Ice,Flying,90,85,100,85,125,95,true,
Zapdos,Electric,Flying,90,90,85,100,90,125,true,
Moltres,Fire,Flying,90,100,90,90,85,125,true,
Dratini,Dragon,,41,64,45,50,50,50,false,
Dragonair,Dragon,,61,84,65,70,70,70,false,
Dragonite,Dragon,Flying,91,134,95,80,100,100,false,
Mewtwo,Psychic,,106,110,90,130,90,154,true,
Mew,Psychic,,100,100,100,100,100,100,true,
